Watchlist Scanner

Results
Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Market Cap,Vol Index,Sizzle Index
AACB,ARTIUS II ACQUISITIO A,10.285,0,0.00%,23,10.18,10.50,0,0,<empty>,285 M,<empty>,<empty>
AACG,ATA CREATIVITY GLOBA ADR,1.10,-.01,-0.90%,"13,773",1.05,1.20,1.1001,1.03,-.0365,35 M,<empty>,<empty>
AAM,AA MISSION ACQUISITI A,10.60,0,0.00%,"4,569",10.58,10.75,10.60,10.60,<empty>,466 M,<empty>,<empty>
AAME,ATLANTIC AMERN CORP,2.40,-.18,-6.98%,"37,327",2.39,2.65,2.61,2.39,.23,49 M,<empty>,<empty>
AAMI,ACADIAN ASSET MGMT I,43.65,-.20,-0.46%,"160,814",39.00,46.00,44.3599,43.173,2.37,"1,559 M",59.32%,0.345
AAOI,APPLIED OPTOELECTRON,26.02,-.51,-1.92%,"3,466,561",26.01,26.27,27.90,26.01,-3.46,"1,777 M",100.18%,0.855
AAON,AAON INC,91.06,-.57,-0.62%,"639,709",71.90,111.95,92.295,90.16,1.21,"7,434 M",60.91%,0.126
AAP,ADVANCE AUTO PTS INC,52.69,-.15,-0.28%,"1,044,706",52.64,54.00,53.9399,52.17,-6.33,"3,163 M",56.99%,0.761
AAPG,ASCENTAGE PHARMA GRO ADR,32.44,-.06,-0.18%,"3,739",29.90,37.00,33.09,32.03,-2.024,"3,016 M",<empty>,<empty>
AARD,AARDVARK THERAPEUTIC,9.26,-.26,-2.73%,"183,690",9.40,9.95,9.77,9.18,-2.531,202 M,<empty>,<empty>
AAT,AMERICAN ASSETS TR I REIT,19.44,0,0.00%,"350,452",18.75,20.46,19.59,19.39,1.02,"1,189 M",6.32%,0.714
AB,ALLIANCEBERNSTEIN HL,41.69,+.26,+0.63%,"159,183",41.60,41.80,41.78,41.43,3.02,"3,794 M",++,1.175
ABCB,AMERIS BANCORP,75.52,-.64,-0.84%,"342,411",30.33,121.21,76.60,75.355,5.77,"5,159 M",37.17%,1.563
ABEO,ABEONA THERAPEUTICS,4.55,-.23,-4.81%,"1,535,400",4.55,5.00,4.82,4.535,1.21,247 M,177.55%,0.088
ABG,ASBURY AUTOMOTIVE GR,230.48,-1.64,-0.71%,"151,243",92.46,259.00,235.17,229.99,28.5,"4,481 M",36.08%,0.054
ABL,ABACUS GLOBAL MGMT I A,6.43,-.28,-4.17%,"486,147",5.62,6.79,6.72,6.405,.05,629 M,55.88%,0.072
ABLV,ABLE VIEW GLOBAL INC B,.7497,+.0895,+13.56%,"7,204",.5511,.7800,.7498,.6566,.05,37 M,<empty>,<empty>
ABM,ABM INDS INC,43.22,+.14,+0.32%,"562,960",40.00,47.22,43.33,42.51,1.85,"2,647 M",38.68%,0.705
ABOS,ACUMEN PHARMACEUTICA,1.75,-.15,-7.89%,"127,201",1.76,1.95,1.89,1.75,-2.21,106 M,157.54%,0.047
ABP,ABPRO HLDGS INC,6.36,-.13,-2.00%,"8,178",4.88,6.49,6.49,6.32,-8.248,17 M,<empty>,<empty>
ABTS,ABITS GROUP INC,5.99,-.46,-7.13%,"9,242",3.50,6.10,6.42,5.99,-.527,14 M,<empty>,<empty>
ABVC,ABVC BIOPHARMA INC,2.55,-.06,-2.30%,"29,169",2.45,3.02,2.64,2.53,-.28,62 M,++,0.012
ABVE,ABOVE FOOD INGREDIEN Equity,2.6000,-.17,-6.14%,"926,677",2.6000,2.6900,2.8800,2.5900,-1.745,133 M,266.00%,0.195
ABVX,ABIVAX SA ADR,114.83,-5.09,-4.24%,"975,822",114.50,116.35,121.472,114.34,-3.623,"8,946 M",96.46%,0.696
ACA,ARCOSA INC,106.09,+.31,+0.29%,"213,757",96.00,109.00,106.66,105.13,3.02,"5,203 M",38.50%,0.349
ACB,AURORA CANNABIS INC,4.48,-.05,-1.10%,"524,483",4.48,4.68,4.715,4.48,-.7329,253 M,73.06%,0.151
ACCL,ACCO GROUP HLDGS LTD,3.81,-.09,-2.31%,"37,688",3.82,3.94,4.10,3.81,.0735,53 M,<empty>,<empty>
ACCO,ACCO BRANDS CORP,3.49,+.01,+0.29%,"521,778",3.49,3.54,3.52,3.45,.42,315 M,64.39%,0.769
ACCS,ACCESS NEWSWIRE INC,8.0798,-.1702,-2.06%,"5,946",6.02,9.33,8.32,7.7501,-1.4,31 M,<empty>,<empty>
ACEL,ACCEL ENTMT INC A,10.36,+.03,+0.29%,"1,043,141",4.17,10.55,10.43,10.30,.5,862 M,95.67%,0.357
ACFN,ACORN ENERGY INC,15.21,+.84,+5.85%,"14,925",14.50,15.67,15.50,14.40,2.66,38 M,<empty>,<empty>
ACHC,ACADIA HEALTHCARE CO,16.49,-.35,-2.08%,"1,312,137",16.12,16.92,16.88,16.26,1.16,"1,491 M",80.29%,0.467
ACHV,ACHIEVE LIFE SCIENCE,4.55,-.10,-2.15%,"457,943",4.50,4.74,4.7635,4.53,-1.35,242 M,129.51%,0.049
ACIC,AMERICAN COASTAL INS,12.10,+.27,+2.28%,"127,299",11.91,12.75,12.47,12.0201,1.71,590 M,37.79%,1.4
ACLS,AXCELIS TECHNOLOGIES,82.43,+.92,+1.13%,"522,026",82.00,84.50,82.93,80.73,4.24,"2,555 M",51.07%,0.909
ACLX,ARCELLX INC,68.81,-1.47,-2.09%,"1,048,205",67.00,70.90,71.215,68.17,-3.93,"3,979 M",61.71%,0.164
ACMR,ACM RESH INC Class A,32.87,-.44,-1.32%,"2,101,196",32.71,33.50,33.74,32.72,1.72,"2,132 M",70.12%,0.764
ACNB,ACNB CORP,48.30,+.38,+0.79%,"17,062",46.62,77.20,48.48,48.03,3.33,502 M,46.85%,0.625
ACNT,ASCENT INDUSTRIES CO,14.80,-.33,-2.18%,"87,488",12.50,17.17,15.33,14.71,.1,139 M,39.42%,1.46
ACOG,ALPHA COGNITION INC,5.72,+.07,+1.24%,"76,342",5.65,5.92,5.88,5.65,-1.38,124 M,<empty>,<empty>
ACON,ACLARION INC,7.17,+.67,+10.31%,"169,856",7.02,7.34,7.70,6.81,-2259,4.8 M,<empty>,<empty>
